#,单词,解释,笔记
0,"a","a
I
 (
 or   A) /ˈeı/ 
 noun  , 
 pl   a's 
 or   as 
 or   A's 
 or   As
  1 : the first letter of the English alphabet
   
[  count  ] a word that begins with an a
   
[  noncount  ] a word that begins with a
  2 : a musical note or key referred to by the letter A : the sixth tone of a C-major scale
   
[  count  ] play/sing an A
   
[  noncount  ] a song in the key of A
  3 
[  count  ] : a grade that is given to a student for doing excellent work
   She got an A on the exam.
   He's an A student. [=a student who gets A's for his schoolwork]
  4 
[  noncount  ]
  — used to refer to the first of two or more people, places, or things that are being considered
   If A, B, and C divide the coins equally, how many does each person get?
  an A for effort — see effort
  exhibit A — see exhibit, 2
  from A to Z
   : including everything
    The book is titled “Home Repairs From A to Z.”
  from (point) A to (point) B
   : from one place to another
    I don't care about the scenery. I'm only interested in getting from A to B.
————————
II
 /ə, ˈeı/ (
 or   an) /ən, ˈæn/ 
 indefinite article  
  ◇ A is used before a consonant sound.
   a door
   a human
  An is used before a vowel sound.
   an icicle
   an honor
  Note that when a word begins with a vowel letter but is pronounced with a consonant sound, a is used.
   a one
   a union
  When an abbreviation begins with a consonant letter but is pronounced with a vowel sound, an is used.
   an FBI investigation
   an LCD display
  When a word begins with h but the first syllable of the word is not given primary stress, both a and an are used.
   a historic
   an historic
  1
  — used before singular nouns when the person or thing is being mentioned for the first time
   There was a tree in the field.
   A man walked past him.
   I heard a shout.
   He bought a house, but this is not the house he bought.
   I ordered an apple and some cheese: I ate the apple but not the cheese.
  2 a
  — used like one before number words like hundred, thousand, etc.
   a hundred and twenty people
   a million dollars
   a dozen doughnuts
  2 b
  — used like one before number words like third, fortieth, etc.
   This is a [=one] third the size of that.
  2 c
  — used like one before units of weight, measurement, etc.
   a pound or two [=one or two pounds]
   a week or two [=one or two weeks]
   a foot and a half of water = one and a half feet of water
  2 d : one single : even one
  — used in negative constructions
   They didn't charge me a penny. [=they didn't charge me anything at all]
   “Did she say anything about it?” “Not a word.”
  3
  — used before a word or phrase that indicates a type or class of person or thing
   My uncle is a plumber.
   Copper is a metal.
   She's a very nice lady.
  — often used before noncount nouns that are modified by an adjective or phrase
   a torrential rain
   She has a warmth that puts people at ease.
   I've always had a fondness for chocolate.
  4
  — used like any to refer in a general way to people or things
   A person who is sick can't work well. [=people can't work well if they are sick]
  5
  — used before a proper noun to indicate limited knowledge about the person or thing being mentioned
   A Mr. Smith [=a man named Mr. Smith] called to ask about the job.
   Among the towns of the area there is a Newton, I believe.
  6 a
  — used before a proper noun that is acting as an example or type
   the attractions of a Boston or a Cleveland
   His friends say he's an Einstein in regard to science.
  6 b
  — used before the name of a day of the week to refer to one occurrence of it
   My birthday falls on a Tuesday this year.
  7 a
  — used before the name of a person (such as a famous artist) when the name is being used to refer to something (such as a painting) created by that person
   The museum recently purchased a Rembrandt. [=a painting by Rembrandt]
   My violin is a Stradivarius.
  7 b
  — used before a family name to show that someone is a member of that family
   Did you know that she's a Kennedy?
  8
  — used before a proper noun referring to a person or thing that has a particular quality
   A triumphant Ms. Jones greeted her supporters. [=Ms. Jones was triumphant when she greeted her supporters]
   We were met at the door by an embarrassed Mr. Brown. [=Mr. Brown was embarrassed when he met us at the door]
   We had a very mild January.
  9
  — used with words like bit and little to form phrases that describe quantity, amount, or degree
   She felt a bit tired.
   It's getting a little late.
  10
  — used in phrases that describe how often something occurs, how fast something is going, etc.
   They meet twice a week. [=twice each week]
   The car was traveling at a hundred miles an [=per] hour.",
1,"ability","-abil·i·ty
 (
 also   -ibil·i·ty) 
 noun suffix  
  : ability, fitness, or likeliness to act or be acted on in (such) a way
   readability
   excitability
   compatibility
   visibilityability
abil·i·ty
 /əˈbıləti/ 
 noun  , 
 pl   -ties
  : the power or skill to do something
   
[  count  ] a young woman with many remarkable musical/artistic/athletic abilities
    — often followed by to + verb
    a teacher with an ability to inspire his students
    Does he have the ability [=authority] to fire employees?
    a writer's ability [=capability, capacity] to interest readers
   
   
[  noncount  ] a young woman of great musical/artistic/athletic ability
    She has shown some ability with foreign languages.
    He always works to the best of his ability. [=as well as he can]",
2,"able","-able
 (
 also   -ible) 
 adj suffix  
  1 : fit for or worthy of being
   lovable
   collectible
  2 : likely to or capable of
   breakable
   perishable
  3 : having a certain quality
   knowledgeable
   peaceableable
 /ˈeıbəl/ 
 adj  
  1 not used before a noun
  1 a : having the power, skill, money, etc., that is needed to do something
   He will buy a new car as soon as he is able.
  — usually followed by to + verb
   He will buy a new car as soon as he is able to do so.
   Is he able to swim? [=can he swim?]
   They weren't able to afford a vacation. [=they were unable to afford a vacation]
   I was so tired that I was barely/hardly able to get out of bed.
   A weight lifter is able to lift [=can lift] a very heavy weight.
  1 b : not prevented from doing something : having the freedom or opportunity to do something
   Come for a visit when you are able (to).
  — usually followed by to + verb
   Will you be able to visit soon?
   We were able to leave at noon.
  1 c
  — used to say that the quality or condition of something makes something possible
   a car that is able to hold [=can hold] five people
   The car wasn't able to be repaired. [=could not be repaired]
  2 abler, ablest [also more ~; most ~] : having skill or talent
   He turned out to be an able editor/leader/soldier.
   She is one of the ablest lawyers in the firm.",
3,"about","about
I
 /əˈbaʊt/ 
 adv  
  1 a : almost or nearly
   We're about ready to go.
   I'm about starved.
   Are you about finished?
   This one is about as bad as that one.
   That's about all I know at this point.
   It's about time to go.
   That's about all the time we have.
   We tried just about everything we could think of.
   “Is there anything else to do?” “No, that's about it/all.” [=that's it/all; there is nothing else to do]
  1 b
  — used to indicate that a number, amount, time, etc., is not exact or certain
   The repair should cost about [=approximately, roughly] $200.
   We should leave in about 10 minutes.
   We got home at about 8 o'clock. = (US) We got home around about 8 o'clock. = (Brit) We got home round about 8 o'clock. [=it was approximately 8 o'clock when we got home]
  2 : very close to doing something
  — followed by to + verb
   He is about to leave. [=he will be leaving very soon]
   We're about to join our friends for dinner.
   Their daughter is about to graduate from college.
  — often used with not to stress that someone will not do something
   I'm not about to quit. [=I am not going to quit; I will not quit]
  3 chiefly Brit
  3 a : in many different directions
   They wandered about [=around] for several hours.
  3 b : in many different places
   People were standing about [=around], talking quietly in small groups.
   His tools were scattered about [=around] carelessly.
  3 c : in or near a particular area or place
   There was no one about. [=there was no one around; there was no one there]
  4 : in the opposite direction
   turn about [=(more commonly) around]
   The captain ordered us to bring the ship about.
————————
II
 
 prep  
  1 a
  — used to indicate the object of a thought, feeling, or action
   There has been a lot of anger about [=concerning] the decision.
   We did something about the problems.
   That's what I like about you.
   What are you so pleased about?
   I'm worried about her.
   I forgot all about it.
   There's a question about [=as to] how the problem should be fixed.
  1 b
  — used to indicate the subject of something said or written
   I spoke about my past.
   She told me all about her vacation.
   What's he yammering about now? = (Brit) What's he on about now?
   books about birds
   a novel about Spain
  2 : as part of (someone or something)
   There is a mature wisdom about her. [=she has a quality of mature wisdom]
   What was the most exciting thing about your vacation? [=what part of your vacation was most exciting?]
   There's something weird about that guy. [=that guy is weird]
  3
  — used to indicate the most important or basic part or purpose of something
   A good marriage is (all) about trust. [=trust is the most important part of a good marriage]
   The work he does is all about helping young people.
  4 : near or not far from (something) in time
   a night about [=around] midsummer
  5 a : in the area near to (something or someone)
   Fish are abundant about [=around] the reefs.
  5 b : over or in different parts of (a place)
   He traveled all about [=around] the country.
   He's a well-known figure about [=around, throughout] the town.
  5 c : on every side of (something or someone)
   A crowd gathered about [=around] him.
   They wrapped the blanket about [=around] her.
  6 a
  — used to say that something is done quickly or slowly
   He was slow about doing his work. [=he did his work slowly]
   If you're going to do that, you need to be quick about it. [=you need to do it quickly]
  6 b chiefly Brit : in the act or process of doing (something)
   Do it well while you're about it. [=while you're at it]
   He seems to know what he's about. [=to know what he's doing]
  how about — see how, 1
  what about — see what, 1
————————
III
 
 adj   
  out and about — see out, 1",
4,"above","above
I
 /əˈbʌv/ 
 adv  
  1 : in or to a higher place
   They stood under the tree and looked at the branches above. [=overhead]
   The stars shone above. [=in the sky]
   The stairs lead above [=upstairs] to the bedrooms.
   up above and down below
  ◇ The opposite of every sense of above is below.
  2 : in or to a higher rank or number
   Students in the grade above [=in the next grade] study algebra.
   Groups of six and above [=of six or more] need reservations.
   a game that is suitable for children at/of age 10 and above [=older]
  3 : above zero
   Temperatures range from 5 below to 5 above.
  4 : higher, further up, or earlier on the same page or on a preceding page : at a previous point in the same document
   Write to us at the address shown above. [=at the above address]
   Except as noted above, all the information can be verified.
   the person named above = the above-named person
  from above
   1 : from a higher place or position
    It looks like a cross when viewed from above.
   2 : from someone with greater power or authority
    waiting for orders from above
————————
II
 
 prep  
  1 : in or to a higher place than (something) : over
   He raised his arms above his head.
   They hung a mirror above the mantel.
   We rented an apartment above a restaurant.
  — opposite below
  2 : greater in number, quantity, or size than (something) : more than (something)
   Temperatures were above average all week.
   men above 50 years old
  — opposite below
  3 a : to a greater degree or extent than (something)
   She values her private time above her fame.
  3 b : in a higher or more important position than (something)
   He puts his child's needs above his own.
  — opposite below
  4 : having more importance or power than (someone) : having a higher rank than (someone)
   A captain is above a lieutenant. [=a captain outranks a lieutenant]
   Who is above him in that department?
  — opposite below
  5 : too important for (something) : not able to be affected by (something)
   She thinks that she's above criticism/suspicion. [=that she cannot be criticized/suspected]
  — see also above the law at law
  6 : too good for (some type of behavior, work, etc.)
   I thought you were above lying to people. [=I thought such dishonest behavior was beneath you]
   He was not above cheating when it served his purposes. [=he would cheat when it served his purposes]
   Does she think she's above that kind of work? [=does she think that kind of work is beneath her?]
  7 : more loudly and clearly than (another sound)
   I heard the whistle above [=over] the roar of the crowd.
  above all
   : as the most important thing : especially
    Above all, we must consider what is best for the children.
  above and beyond
   : far beyond what is required by (something, such as a duty)
    He went above and beyond the call of duty. [=he did more than his duty required him to do]
  get above yourself
   
 chiefly Brit   : to think you are more important than you really are
    We are pleased by his success, but we worry that he might be getting above himself.
  over and above — see over, 2
————————
III
 
 adj  
  : mentioned at an earlier point in the same document : written above
   You can contact me at the above address. [=at the address shown above]
  the above
   : something that is mentioned at an earlier point in the same document
    If any of the above is incorrect, please me know.
    Contact any of the above [=any of the people mentioned above] for more information.
    The correct answer is “none of the above.”",
5,"accept","accept
ac·cept
 /ıkˈsɛpt/ 
 verb  , -cepts, -cept·ed, -cept·ing
  1 a : to receive or take (something offered)
   
[  + obj  ] accept a gift
    accept a proposal
    accept a bribe
    accept an assignment/invitation/offer
    They offered him the job, and he accepted it.
   
[  no obj  ] They offered him the job, and he accepted.
  1 b 
[  + obj  ] : to take (something) as payment
   The store doesn't accept credit cards.
  1 c 
[  + obj  ] : to be able or designed to take or hold (something)
   a surface that will not accept ink
   a computer program ready to accept commands
  2 
[  + obj  ] : to agree to (something) : to agree to receive or allow (something)
   accept a telephone call
   They accepted some applications and rejected others.
   She's still trying to get her manuscript accepted for publication.
   I accept your apology.
   They refused to accept his resignation.
  3 
[  + obj  ]
  3 a : to think of (something) as true, proper, or normal
   a word that has come to be accepted as standard
   This treatment is now accepted by many doctors.
   He refused to accept the decision.
   I accepted his advice and joined the health club.
   They accepted [=believed] her explanation.
   The theory is widely accepted as correct. = It is widely accepted that the theory is correct.
  3 b : to stop denying or resisting (something true or necessary)
   She found it difficult to accept change.
   The truth is sometimes hard to accept.
   He behaved badly, and now he has to accept the consequences.
   He has to accept the fact that his baseball career is over. [=he has to admit that his baseball career is over]
   He was unwilling to accept [=believe] that he could no longer play as he once had.
  3 c : to admit that you have or deserve (something, such as blame or responsibility)
   accept blame
   I accept responsibility for the accident.
  3 d : to be willing to have or experience (something)
   To be a successful investor you have to accept some risk.
   She accepted [=took on, faced] the challenge of starting her own business.
  4 
[  + obj  ]
  4 a : to allow (someone) to join a club, to attend a school, etc.
   The club accepted her as a member but rejected her sister.
   She was accepted at/by Georgetown University.
  4 b : to regard (someone) as belonging to a group
   She felt that her in-laws had never really accepted her (as a member of the family).
   She doesn't yet feel accepted (by her in-laws).
   The new family was quickly accepted into the community.
  accepted 
 adj  
   an accepted practice
   an accepted definition
   a widely accepted truth
  ac·cept·er (
 or   ac·cep·tor) /ıkˈsɛptɚ/ 
 noun  , 
 pl   -ters 
 or   -tors 
[  count  ]",
6,"according","",
7,"across","across
I
 /əˈkʰrɑːs/ 
 prep  
  1 a : from one side to the other side of (something)
   We took a ferry across the river.
   We saw them walking across the street.
   She reached across the table to shake his hand.
   They traveled back and forth across the border.
   Airplanes flew across the sky above us.
   She slapped him right across the face. [=she slapped his face]
  1 b : on the other side of (something)
   He was seated across the table from me.
   Our grandparents live across the street (from us).
   The accident happened just across the state line.
  2 : so as to reach or spread over or throughout (something)
   A smile spread across her face.
   Looking out across the ocean, he saw land.
   The sun's light spread across the mountains.
   The disease spread quickly across the country.
  3 : in every part of (a country, region, etc.)
   The movie is now showing in theaters across [=throughout] America.
   Newspapers (all) across the world reported the story.
   We could hear the bells all across town.
————————
II
 
 adv  
  1 : from one side to the other
   The streams are small enough to jump across.
   They walked across to the other side of the street.
   They reached across and shook each other's hand.
  2 : in a measurement from one side to the other side
   At its widest point, the pond measures 150 feet across.
   The hole was 10 feet across. [=10 feet wide]
  3 : on the opposite side
   I saw them crossing the street and I waited until they were safely across.
  across from
   : on the opposite side from (someone or something)
    She sat (directly) across from me at the table.
    The restaurant is (just) across from the high school.",
8,"act","act
I
 /ˈækt/ 
 noun  , 
 pl   acts
  1 
[  count  ] : something that is done
   His first official act [=action] as President was to sign the bill.
   We were grateful for her many acts of kindness.
   an act of bravery = a brave act
   criminal/illegal/unlawful/wrongful acts
  — see also sex act
  ◇ An act of God is a natural event (such as a storm or earthquake) that cannot be controlled by people.
   The company cannot be held responsible in cases of bad weather or other acts of God.
  2 
[  count  ] : a law made by a group of legislators
   The program was created by (an) act of Congress/Parliament.
   legislative acts
   the Civil Rights Act of 1964
  3 
[  count  ] : one of the main divisions of a play or opera
   Please read act II, scene 1 of Shakespeare's Romeo and Juliet.
   In the first/opening act, two characters are talking in a restaurant.
   a play in three acts = a three-act play
  4 
[  count  ]
  4 a : one of the performances in a show
   a circus/magic act
  4 b : a show that a person or group performs often
   He has a great stand-up/comedy act. [=routine]
   She took her act on the road. [=she traveled and performed her act in different places]
  4 c : a person or group that performs in shows
   a two-person comedy act from New York City
   The band was one of this summer's most successful live acts.
  ◇ A balancing act or juggling act is an attempt to do several different things or deal with several different situations at the same time.
   It's a difficult balancing act, but many students hold full-time jobs while attending school.
   Working and raising children can be a real juggling act for parents.
  — see also class act, a hard/tough act to follow at follow
  5 
[  singular  ] : a way of behaving that is not honest or sincere
   He said he was sorry, but I realize now that it was all just an act.
   He wasn't really sorry. He was just putting on an act.
  clean up your act — see clean up at clean, 2
  get into the act (
 or   get in on the act)
   : to start to participate in an activity
    We started selling them last year, and now other stores are getting into the act. [=now other stores are also selling them]
  get your act together — see get together at get
  in the act (of doing something)
   : while doing something
    When they arrived, I was just in the act of starting to make dinner.
    He tried to rob a bank and was caught in the act. = He was caught in the act of robbing a bank.
————————
II
 
 verb  , acts, act·ed, act·ing
  1 
[  no obj  ] : to do something : to take action
   Think before you act.
   He knew he had to act quickly/fast.
   The government was slow to act.
   The firefighters acted with great courage. = They acted courageously.
   She acted on behalf of her father, who was not at the meeting.
   I believe that the killer acted alone.
   She had acted in self-defense when she killed her attacker.
   We were acting in the best interests of our children.
   If he refuses to cooperate, he'll be acting against his own (best) interests. [=he'll be acting in a way that is harmful to himself]
   We must act soon to end this crisis.
  2 
[  no obj  ] : to behave in a particular way
   She learned at an early age how to act properly in social situations.
   People are always telling me how I should act and what I should say.
   I noticed that the dog was acting funny/differently/strangely this morning.
   acting more naturally/aggressively/responsibly
   She's been acting kind of crazy lately.
   Please learn the new rules and act accordingly. [=follow the new rules]
  ◇ To act the part is to behave the way that people in a particular role usually behave.
   Now that he's rich he certainly acts the part. [=behaves like a rich person]
  ◇ To act your age is to behave the way that people your age should behave and not to behave like a younger person.
   John, act your age. You're not a kid anymore.
  ◇ To act like a particular kind of person or thing is to behave the way that person or thing behaves.
   You two are acting like children.
   It's time you start acting like a man.
   I'm sorry about yesterday. I acted like a fool/jerk.
  — see also act 3c (below), 2
  3 a 
[  no obj  ] : to behave in a way that is not sincere or honest
   Stop acting. We know you're guilty.
  3 b 
[  linking verb  ] : to pretend to be something
   Stop acting innocent.
   She was terribly nervous, but she acted confident.
   I know you're bored, but can you at least try to act interested.
   He did his best to act excited.
   There she goes, offering advice and acting the expert. [=pretending to be an expert]
   If anybody asks you where I am, act dumb. [=pretend that you do not know]
  3 c 
[  no obj  ] : to pretend that something is true
  — usually used in the phrases act as if, act as though, and (chiefly US) act like
   She acted as if nothing had happened.
   We acted as though we knew what was going on.
   I tried to act like it didn't bother me, but it did.
   Even if you don't like your gift, you should act like you do.
   I didn't act like it, but I really was happy.
  see also act like at act 2 (above), 2
  4 : to perform the words and actions of a character in a play, movie, etc. : to perform as an actor
   
[  no obj  ] It had always been his dream to act.
    She can sing, dance, and act.
    As a child, she began acting in television commercials.
    Both actors have agreed to act in the movie.
   
[  + obj  ] He'll be acting the part of Romeo in tonight's play.
    The role of Romeo was wonderfully acted by Mr. Jacob Smith.
    a beautifully acted movie [=a movie in which the acting is excellent]
  5 
[  no obj  ] : to do the work of a particular kind of person or thing : to perform a certain function or role
  — + as
   A young man acted [=served] as our guide through the city.
   She'll be acting as her own attorney during the court trial.
   She agreed to act as his secretary.
   The trees act as a source of shade and protection from the wind.
  6 
[  no obj  ] : to make something happen : to have a particular effect
   The chemical acts [=works] by destroying the cells in the brain.
  — often + on
   These medicines act on [=affect] the heart.
  see also ACT ON/UPON ((BELOW))
  act on/upon 
[  phrasal verb  ]
   act on/upon (something) : to use (something, such as a feeling or suggestion) as a reason or basis for doing something
    They never acted on the information they had.
    We were too late to act upon his suggestion.
    It's okay to feel angry or jealous, but you mustn't act on those feelings.
    — see also act 6 (above), 2
  act out 
[  phrasal verb  ]
   1 a : to behave badly especially because you are feeling painful emotions (such as fear or anger)
    What can parents do when their kids start acting out?
   1 b act out (something) or act (something) out : to show that you are feeling (a painful emotion) by acting in ways that are not good or acceptable
    children acting out their emotions in inappropriate ways
    He tries not to act out his anger/frustrations.
   2 act out (something) or act (something) out
   2 a : to perform (a play, a character in a movie, etc.)
    plays acted out on stage
    She skillfully acted out the role of a young queen.
   2 b : to do and say the things that happen in (a movie, past event, etc.)
    At their last party, they acted out [=reenacted] scenes from old movies.
    The children were acting out what they saw on television.
    adults acting out their childhood dreams/fantasies [=doing the things they wanted to do when they were children]
  act the fool — see fool, 1
  act up 
[  phrasal verb  ]
   1 : to behave badly : to act in a way that is not polite or acceptable
    The kids are acting up [=misbehaving] again.
    The book gives advice to parents whose children act up.
   2 of a machine : to not work properly
    The camera started acting up [=malfunctioning] after I dropped it.
   3 of a disease : to become worse and to start causing pain or physical problems
    His asthma acts up when it's cold outside.
    Whenever it rains, my arthritis starts acting up.ACT
 
 abbr  
  American College Test
  ◇ The ACT is a test that some U.S. students take as a part of applying to colleges.",
9,"action","action
ac·tion
 /ˈækʃən/ 
 noun  , 
 pl   -tions
  1 
[  count  ] : something that a person or group does
   As its first official action [=act], the committee elected Ms. Jones as its president.
   He was critical of the government's actions before the war.
   a military action against another country
   criminal/illegal actions
   She tried to explain/defend/justify her actions.
   I accept full responsibility for my actions.
  — often used with take
   The school has been asked to take certain actions to fix the problem.
   This is just one of the many actions that they could have taken.
  ◇ The saying actions speak louder than words means that the things that you do are more important than the things that you say.
   They say they want peace, but actions speak louder than words.
  2 
[  noncount  ] : things done to achieve a particular purpose
   The situation demanded immediate action.
   The problem may require military action.
   The school took disciplinary action against the drunken students.
   They decided that no further action was necessary.
   We need to agree on a plan of action. [=need to agree on what we will be doing]
   What's the best course of action? [=what's the best way to proceed?]
   The protesters criticized the administration's lack of action [=inaction] on many issues.
  — often used with take
   We were ready to take action. [=to do something]
   Because the company failed to take action [=failed to act], many people were hurt.
   The company took no action.
   The police are now taking appropriate action.
   She's all talk and no action. [=she says that she will do things, but she does not do them]
  ◇ A man of action or woman of action is a man or woman who works in an active way to do things.
   He was a scholar and thinker but was also a man of action.
  see also affirmative action, political action committee
  3 
[  noncount  ] : fighting that happens in a war
   His unit first saw action [=fought in a battle] on June 20th.
   soldiers who were killed or wounded in action [=in battle]
   soldiers who are missing in action [=soldiers who cannot be found after a battle and might have been killed, captured, or wounded]
  — see also IN ACTION ((BELOW))
  4 the action : the most exciting or interesting activities that are happening in a particular place
   The new theater places the audience closer to the center/middle of the action.
   I moved to New York City to be (a) part of the action.
   Downtown is where the action is. [=downtown is a very active and exciting place]
  5 
[  noncount  ]
  5 a informal : a chance or opportunity to make money
   Do any of you guys want to get in on the action? [=participate in a plan to make money]
  ◇ A piece of the action or (chiefly US) a cut of the action or (chiefly Brit) a slice of the action is a portion or share of the money that can be earned from something.
   He saw that his friends were making money illegally, and he wanted to get a piece of the action.
  5 b slang, sometimes offensive : sexual activity
   I met a girl who was ready for some action.
  6 
[  noncount  ] : the events that happen in a story, movie, etc.
   Most of the play's action takes place in a restaurant.
   the action [=plot] of the novel
  7 
[  noncount  ] : events that happen quickly and that cause feelings of danger and excitement
   The movie is two hours of nonstop action. [=excitement]
   We went out looking for action.
   That's when the action really starts.
  — often used before another noun
   action movies
   the film's final action sequence
  see also live action
  8
  — used as a director's command to start filming part of a movie or television show
   Lights, camera, action!
  9 law : the process of having a court of law make a decision about an argument
   
[  count  ] The court dismissed the action. [=case, lawsuit]
    She brought/filed an action against the company for damages.
    civil actions [=lawsuits about a person's rights]
   
[  noncount  ] They are threatening/considering legal action.
    bringing/taking action against companies for damages — see also class action
  10 
[  noncount  ] : a process in which one thing causes a change in another thing
   the action [=effect] of certain chemicals on the brain
   The medicine blocks the action of these proteins. [=it stops the proteins from working]
   The cave was formed by the action of an underground river.
  11 : the way that something works or moves
   
[  noncount  ] Food is swallowed by the action of the tongue.
    the action of the heart
    the mechanical action of a pulley
    the drill's twisting action
    a single-action revolver
   
[  singular  ] The gears meshed with a smooth action.
  in action
   : in the act of doing something : performing a usual job or function
    We came to the court to see our country's judicial system in action. [=at work]
    The fans have come to see their favorite players in action.
    After a two year break from baseball, he's finally back in action. [=he's playing baseball again]
    — see also action 3 (above)
  into action
   : to an active state
    They had already put the plan into action. [=started using the plan]
    Firefighters are ready to leap/spring/swing into action [=quickly start working] at a moment's notice.
   ◇ When people or things are called into action, they are asked to start working or doing a particular task.
    As a doctor, she can be called into action at any time of the day.
    Our military unit was called into action at the start of the war.
   
  out of action
   : unable to perform a usual job or function : not in action
    He broke his leg and the doctors say that he'll be out of action [=out of commission] for at least a month.
    His broken leg will put/keep him out of action for at least a month.",
