rank,words,coca_speech
1,the,a
2,be,v
3,and,c
4,of,i
5,a,a
6,in,i
7,to,t
8,have,v
9,to,i
10,it,p
11,I,p
12,that,c
13,for,i
14,you,p
15,he,p
16,with,i
17,on,i
18,do,v
19,say,v
20,this,d
21,they,p
22,at,i
23,but,c
24,we,p
25,his,a
26,from,i
27,that,d
28,not,x
29,n't,x
30,by,i
31,she,p
32,or,c
33,as,c
34,what,d
35,go,v
36,their,a
37,can,v
38,who,p
39,get,v
40,if,c
41,would,v
42,her,a
43,all,d
44,my,a
45,make,v
46,about,i
47,know,v
48,will,v
49,as,i
50,up,r
51,one,m
52,time,n
53,there,e
54,year,n
55,so,r
56,think,v
57,when,c
58,which,d
59,them,p
60,some,d
61,me,p
62,people,n
63,take,v
64,out,r
65,into,i
66,just,r
67,see,v
68,him,p
69,your,a
70,come,v
71,could,v
72,now,r
73,than,c
74,like,i
75,other,j
76,how,r
77,then,r
78,its,a
79,our,a
80,two,m
81,more,r
82,these,d
83,want,v
84,way,n
85,look,v
86,first,m
87,also,r
88,new,j
89,because,c
90,day,n
91,more,d
92,use,v
93,no,a
94,man,n
95,find,v
96,here,r
97,thing,n
98,give,v
99,many,d
100,well,r
101,only,r
102,those,d
103,tell,v
104,one,p
105,very,r
106,her,p
107,even,r
108,back,r
109,any,d
110,good,j
111,woman,n
112,through,i
113,us,p
114,life,n
115,child,n
116,there,r
117,work,v
118,down,r
119,may,v
120,after,i
121,should,v
122,call,v
123,world,n
124,over,i
125,school,n
126,still,r
127,try,v
128,in,r
129,as,r
130,last,m
131,ask,v
132,need,v
133,too,r
134,feel,v
135,three,m
136,when,r
137,state,n
138,never,r
139,become,v
140,between,i
141,high,j
142,really,r
143,something,p
144,most,r
145,another,d
146,much,d
147,family,n
148,own,d
149,out,i
150,leave,v
151,put,v
152,old,j
153,while,c
154,mean,v
155,on,r
156,keep,v
157,student,n
158,why,r
159,let,v
160,great,j
161,same,d
162,big,j
163,group,n
164,begin,v
165,seem,v
166,country,n
167,help,v
168,talk,v
169,where,c
170,turn,v
171,problem,n
172,every,a
173,start,v
174,hand,n
175,might,v
176,American,j
177,show,v
178,part,n
179,about,r
180,against,i
181,place,n
182,over,r
183,such,d
184,again,r
185,few,d
186,case,n
187,most,d
188,week,n
189,company,n
190,where,r
191,system,n
192,each,d
193,right,r
194,program,n
195,hear,v
196,so,c
197,question,n
198,during,i
199,work,n
200,play,v
201,government,n
202,run,v
203,small,j
204,number,n
205,off,r
206,always,r
207,move,v
208,like,v
209,night,n
210,live,v
211,Mr,n
212,point,n
213,believe,v
214,hold,v
215,today,r
216,bring,v
217,happen,v
218,next,m
219,without,i
220,before,i
221,large,j
222,all,r
223,million,m
224,must,v
225,home,n
226,under,i
227,water,n
228,room,n
229,write,v
230,mother,n
231,area,n
232,national,j
233,money,n
234,story,n
235,young,j
236,fact,n
237,month,n
238,different,j
239,lot,n
240,right,n
241,study,n
242,book,n
243,eye,n
244,job,n
245,word,n
246,though,c
247,business,n
248,issue,n
249,side,n
250,kind,n
251,four,m
252,head,n
253,far,r
254,black,j
255,long,j
256,both,d
257,little,j
258,house,n
259,yes,u
260,after,c
261,since,c
262,long,r
263,provide,v
264,service,n
265,around,i
266,friend,n
267,important,j
268,father,n
269,sit,v
270,away,r
271,until,c
272,power,n
273,hour,n
274,game,n
275,often,r
276,yet,r
277,line,n
278,political,j
279,end,n
280,among,i
281,ever,r
282,stand,v
283,bad,j
284,lose,v
285,however,r
286,member,n
287,pay,v
288,law,n
289,meet,v
290,car,n
291,city,n
292,almost,r
293,include,v
294,continue,v
295,set,v
296,later,r
297,community,n
298,much,r
299,name,n
300,five,m
301,once,r
302,white,j
303,least,r
304,president,n
305,learn,v
306,real,j
307,change,v
308,team,n
309,minute,n
310,best,j
311,several,d
312,idea,n
313,kid,n
314,body,n
315,information,n
316,nothing,p
317,ago,r
318,right,j
319,lead,v
320,social,j
321,understand,v
322,whether,c
323,back,n
324,watch,v
325,together,r
326,follow,v
327,around,r
328,parent,n
329,only,j
330,stop,v
331,face,n
332,anything,p
333,create,v
334,public,j
335,already,r
336,speak,v
337,others,n
338,read,v
339,level,n
340,allow,v
341,add,v
342,office,n
343,spend,v
344,door,n
345,health,n
346,person,n
347,art,n
348,sure,j
349,such,i
