rank,speech,words
1,a,the
2,v,be
3,c,and
4,i,of
5,a,a
6,i,in
7,t,to
8,v,have
9,i,to
10,p,it
11,p,I
12,c,that
13,i,for
14,p,you
15,p,he
16,i,with
17,i,on
18,v,do
19,v,say
20,d,this
21,p,they
22,i,at
23,c,but
24,p,we
25,a,his
26,i,from
27,d,that
28,x,not
29,x,n''t
30,i,by
31,p,she
32,c,or
33,c,as
34,d,what
35,v,go
36,a,their
37,v,can
38,p,who
39,v,get
40,c,if
41,v,would
42,a,her
43,d,all
44,a,my
45,v,make
46,i,about
47,v,know
48,v,will
49,i,as
50,r,up
51,m,one
52,n,time
53,e,there
54,n,year
55,r,so
56,v,think
57,c,when
58,d,which
59,p,them
60,d,some
61,p,me
62,n,people
63,v,take
64,r,out
65,i,into
66,r,just
67,v,see
68,p,him
69,a,your
70,v,come
71,v,could
72,r,now
73,c,than
74,i,like
75,j,other
76,r,how
77,r,then
78,a,its
79,a,our
80,m,two
81,r,more
82,d,these
83,v,want
84,n,way
85,v,look
86,m,first
87,r,also
88,j,new
89,c,because
90,n,day
91,d,more
92,v,use
93,a,no
94,n,man
95,v,find
96,r,here
97,n,thing
98,v,give
99,d,many
100,r,well
101,r,only
102,d,those
103,v,tell
104,p,one
105,r,very
106,p,her
107,r,even
108,r,back
109,d,any
110,j,good
111,n,woman
112,i,through
113,p,us
114,n,life
115,n,child
116,r,there
117,v,work
118,r,down
119,v,may
120,i,after
121,v,should
122,v,call
123,n,world
124,i,over
125,n,school
126,r,still
127,v,try
128,r,in
129,r,as
130,m,last
131,v,ask
132,v,need
133,r,too
134,v,feel
135,m,three
136,r,when
137,n,state
138,r,never
139,v,become
140,i,between
141,j,high
142,r,really
143,p,something
144,r,most
145,d,another
146,d,much
147,n,family
148,d,own
149,i,out
150,v,leave
151,v,put
152,j,old
153,c,while
154,v,mean
155,r,on
156,v,keep
157,n,student
158,r,why
159,v,let
160,j,great
161,d,same
162,j,big
163,n,group
164,v,begin
165,v,seem
166,n,country
167,v,help
168,v,talk
169,c,where
170,v,turn
171,n,problem
172,a,every
173,v,start
174,n,hand
175,v,might
176,j,American
177,v,show
178,n,part
179,r,about
180,i,against
181,n,place
182,r,over
183,d,such
184,r,again
185,d,few
186,n,case
187,d,most
188,n,week
189,n,company
190,r,where
191,n,system
192,d,each
193,r,right
194,n,program
195,v,hear
196,c,so
197,n,question
198,i,during
199,n,work
200,v,play
201,n,government
202,v,run
203,j,small
204,n,number
205,r,off
206,r,always
207,v,move
208,v,like
209,n,night
210,v,live
211,n,Mr
212,n,point
213,v,believe
214,v,hold
215,r,today
216,v,bring
217,v,happen
218,m,next
219,i,without
220,i,before
221,j,large
222,r,all
223,m,million
224,v,must
225,n,home
226,i,under
227,n,water
228,n,room
229,v,write
230,n,mother
231,n,area
232,j,national
233,n,money
234,n,story
235,j,young
236,n,fact
237,n,month
238,j,different
239,n,lot
240,n,right
241,n,study
242,n,book
243,n,eye
244,n,job
245,n,word
246,c,though
247,n,business
248,n,issue
249,n,side
250,n,kind
251,m,four
252,n,head
253,r,far
254,j,black
255,j,long
256,d,both
257,j,little
258,n,house
259,u,yes
260,c,after
261,c,since
262,r,long
263,v,provide
264,n,service
265,i,around
266,n,friend
267,j,important
268,n,father
269,v,sit
270,r,away
271,c,until
272,n,power
273,n,hour
274,n,game
275,r,often
276,r,yet
277,n,line
278,j,political
279,n,end
280,i,among
281,r,ever
282,v,stand
283,j,bad
284,v,lose
285,r,however
