rank,words,speech,frequency
1,the,a,23782115
2,be,v,16711569
3,and,c,11654439
4,of,i,11155504
7,to,t,6868227
10,it,p,4194790
11,i,p,4455521
12,that,c,3709830
13,for,i,3564803
14,you,p,3354252
15,he,p,3138899
16,with,i,2911620
18,do,v,2800961
20,this,d,2047852
21,they,p,2014769
22,at,i,1923946
24,we,p,1973643
26,from,i,1777279
28,not,x,1771490
29,n't,x,1744284
31,she,p,1608851
32,or,c,1488977
34,what,d,1283090
35,go,v,1251786
36,their,a,1170105
38,who,p,1103170
39,get,v,1080432
40,if,c,1011860
41,would,v,1000182
44,my,a,1007382
45,make,v,932443
54,year,n,834997
56,think,v,838695
58,which,d,739360
59,them,p,735837
61,me,p,775446
63,take,v,726578
65,into,i,723324
67,see,v,754368
68,him,p,731462
70,come,v,680619
71,could,v,669783
76,how,r,588188
77,then,r,589713
78,its,a,604138
79,our,a,574490
80,two,m,552785
82,these,d,554163
87,also,r,504559
90,day,n,486307
97,thing,n,438886
98,give,v,415914
99,many,d,415218
100,well,r,448199
101,only,r,408282
102,those,d,410262
103,tell,v,420804
104,one,p,399728
105,very,r,422266
106,her,p,431544
107,even,r,391962
108,back,r,399602
109,any,d,374115
110,good,j,386236
111,woman,n,382235
112,through,i,372049
113,us,p,385782
114,life,n,361340
115,child,n,360478
117,work,v,346641
119,may,v,345687
120,after,i,339185
121,should,v,335540
122,call,v,333570
123,world,n,328689
124,over,i,326862
126,still,r,322194
127,try,v,319415
128,in,r,309472
129,as,r,304541
130,last,m,314652
131,ask,v,308827
132,need,v,304665
133,too,r,303970
134,feel,v,298414
135,three,m,288953
136,when,r,291580
137,state,n,440944
138,never,r,284212
139,become,v,278670
140,between,i,284031
141,high,j,277214
142,something,p,278966
143,really,r,289297
144,most,r,265879
145,another,d,260296
146,much,d,265384
147,family,n,264804
150,leave,v,260368
151,put,v,257101
156,keep,v,252367
157,student,n,280591
158,why,r,256316
159,let,v,263272
160,great,j,244358
162,big,j,249244
163,group,n,249082
164,begin,v,243543
165,seem,v,236617
166,country,n,242456
167,help,v,233703
168,talk,v,248986
169,where,c,231293
171,problem,n,233655
174,hand,n,242773
175,might,v,226672
176,american,j,231470
177,show,v,225869
178,part,n,225292
179,about,r,226187
180,against,i,219689
181,place,n,219869
183,such,d,221361
184,again,r,223868
185,few,d,213654
188,week,n,217313
189,company,n,217148
191,system,n,215748
192,each,d,212566
194,program,n,212582
195,hear,v,212450
196,so,c,201305
198,during,i,205544
200,play,v,204041
201,government,n,209934
203,small,j,200610
204,number,n,201813
205,off,r,199337
206,always,r,195113
209,night,n,198607
211,point,n,194771
212,believe,v,192400
213,hold,v,191472
214,today,r,199257
215,bring,v,189593
216,happen,v,199650
218,without,i,184781
219,before,i,187768
220,large,j,190008
221,all,r,189207
222,million,m,176204
226,water,n,184829
228,write,v,176548
229,mother,n,182856
230,area,n,178801
232,money,n,178555
233,story,n,178828
234,young,j,173683
235,fact,n,173796
236,month,n,177639
237,different,j,176090
240,study,n,190388
241,book,n,168369
242,eye,n,183865
243,job,n,169801
245,though,c,165349
246,business,n,166478
247,four,m,163783
249,side,n,165909
251,head,n,173375
255,both,d,157482
256,little,j,162443
257,house,n,213652
258,yes,u,173566
260,since,c,152783
262,provide,v,162772
263,service,n,159496
264,around,i,155729
265,friend,n,156386
266,important,j,155792
271,power,n,155405
272,hour,n,151448
274,often,r,151696
275,yet,r,146786
277,political,j,155252
278,end,n,146344
279,among,i,149851
280,ever,r,147198
282,bad,j,147391
283,lose,v,145770
284,however,r,151837
285,member,n,148448
287,law,n,146053
289,car,n,142725
290,city,n,201314
291,almost,r,138024
292,include,v,145280
293,continue,v,136870
296,community,n,146262
298,name,n,137352
299,five,m,136838
302,least,r,134256
303,president,n,199016
304,learn,v,135474
306,change,v,133595
307,team,n,144261
309,best,j,136214
310,several,d,133049
311,idea,n,133328
312,kid,n,138349
313,body,n,134912
314,information,n,136869
315,nothing,p,137198
316,ago,r,135250
319,social,j,146215
320,understand,v,131426
321,whether,c,131650
324,together,r,129820
330,face,n,137165
332,create,v,130994
333,public,j,130442
334,already,r,125028
335,speak,v,128408
336,others,n,125416
338,level,n,132310
339,allow,v,124739
340,add,v,130070
341,office,n,123606
342,spend,v,125139
343,door,n,134676
344,health,n,139598
345,person,n,123625
346,art,n,127523
349,war,n,168673
350,history,n,124707
352,within,i,120768
353,grow,v,118898
355,open,v,121005
357,morning,n,124560
359,reason,n,115335
362,research,n,126662
363,girl,n,121177
364,guy,n,127711
365,early,j,116836
366,food,n,118201
367,himself,p,117476
369,moment,n,119290
370,air,n,114140
371,teacher,n,126709
372,force,n,115837
374,enough,r,115134
376,education,n,126010
378,although,c,115282
379,remember,v,115601
382,boy,n,116082
383,maybe,r,118492
384,toward,i,114213
385,able,j,112076
386,age,n,112152
388,policy,n,116824
389,everything,p,113213
390,love,v,115531
392,music,n,110990
393,including,i,113737
394,consider,v,110724
395,appear,v,107943
396,actually,r,116147
398,probably,r,107712
400,wait,v,110964
403,die,v,107409
404,send,v,105353
405,expect,v,103130
409,stay,v,105252
411,oh,u,113609
412,nation,n,105498
413,plan,n,104472
415,college,n,108278
416,interest,n,100940
417,death,n,101428
419,someone,p,104075
423,local,j,101060
424,six,m,98285
426,remain,v,98934
427,effect,n,103101
428,use,n,104906
429,yeah,u,116972
430,suggest,v,99993
432,control,n,97795
433,raise,v,94234
434,care,n,102891
435,perhaps,r,93221
438,hard,j,94488
439,field,n,99988
440,else,r,95331
445,sometimes,r,91728
446,require,v,96535
448,development,n,99812
449,themselves,p,91662
450,report,v,95400
451,role,n,95826
453,economic,j,96894
