rank,words,phonetic,coca_speech,WB_speech
4201,bug,/ˈbʌg/,n," noun 
 verb "
4202,bless,"/ˈblɛs/
/ˈblɛst/",v, verb 
4203,aunt,"/ˈænt, ˈɑːnt/",n, noun 
4204,agriculture,"/ˈægrıˌkʌlʧɚ/
/ˌægrıˈkʌlʧərəlıst/
/ˌægrıˈkʌlʧərəlıst/",n, noun 
4205,rock,/ˈrɑːk/,v," noun 
 verb "
4206,hostile,"/ˈhɑːstl̩, ˈhɑːˌstajəl/",j, adj 
4207,root,"/ˈruːt/
/ˈruːtɚ/",v," noun 
 verb "
4208,conceive,/kənˈsiːv/,v, verb 
4209,combined,/kəmˈbaınd/,j, adj 
4210,instantly,/ˈınstəntli/,r, adv 
4211,bankruptcy,/ˈbæŋkˌrʌptsi/,n, noun 
4212,vaccine,/vækˈsiːn/,n, noun 
4213,bonus,/ˈboʊnəs/,n, noun 
4214,collaboration,/kəˌlæbəˈreıʃən/,n, noun 
4215,mixed,/ˈmıkst/,j, adj 
4216,opposed,/əˈpoʊzd/,i, adj 
4217,orbit,/ˈoɚbət/,n," noun 
 verb "
4218,grasp,"/ˈgræsp, Brit ˈgrɑːsp/
/ˈgræspəbəɬ, Brit ˈgrɑːspəbəl/",v," adj 
 noun 
 verb "
4219,patience,/ˈpeıʃəns/,n, noun 
4220,spite,/ˈspaıt/,i," noun 
 verb "
4221,tropical,"/ˈtrɑːpıkəl/
/ˈtrɑːpıkli/",j," adj 
 adv "
4222,voting,,n, noun 
4223,patrol,/pəˈtroʊl/,n," noun 
 verb "
4224,willingness,,n, noun 
4225,position,/pəˈzıʃən/,v," noun 
 verb "
4226,revelation,/ˌrɛvəˈleıʃən/,n, noun 
4227,rent,"/ˈrɛnt/
/ˈrɛntəbəl/",n," adj 
 noun 
 verb "
4228,calm,/ˈkɑːm/,v," adj 
 adv 
 noun 
 verb "
4229,jewelry,/ˈʤuːlri/,n, noun 
4230,Cuban,,j,
